Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,"133,267.46","74,416.13","33,316.86","14,399.49","7,153.15","4,027.14","2,013.57"
SLH-DSA,"937,132.03","523,452.42","234,283.01","100,647.94","50,481.66","28,399.87","14,199.94"
Falcon,"37,634.05","20,946.94","9,408.51","3,958.78","2,050.05","1,153.02",576.51
MiRitH,"432,168.96","241,397.76","108,042.24","46,437.38","23,314.43","13,116.42","6,558.21"
MQOM,"228,573.18","127,639.55","57,143.30","24,634.37","12,318.21","6,932.22","3,466.11"
PERK,"458,129.41","255,852.54","114,532.35","49,267.71","24,728.58","13,910.53","6,955.26"
MIRA,"404,561.92","225,955.84","101,140.48","43,545.60","21,859.33","12,291.58","6,145.79"
SDitH,"585,809.92","327,229.44","146,452.48","62,907.39","31,635.97","17,794.30","8,897.15"
MAYO,"24,977.41","13,963.26","6,285.31","2,686.98","1,424.90",799.49,399.74
QR-UOV,"11,173.89","6,160.38","2,793.47","1,230.85",594.43,338.18,169.09
SNOVA,"13,803.52","7,639.04","3,450.88","1,600.51",809.98,451.07,225.54
UOV,"7,561.22","4,190.21","1,931.26",903.17,410.11,235.78,117.89
LESS,"73,949.18","41,234.43","18,487.30","7,897.09","3,924.99","2,213.38","1,106.69"
CROSS,"683,745.28","381,931.52","170,936.32","73,491.46","36,913.66","20,760.83","10,380.42"
SQISign,"8,216.58","4,599.81","2,095.10",985.09,461.31,261.38,130.69
HAWK,"30,564.35","17,084.42","7,641.09","3,302.40","1,680.90",947.97,473.98
FAEST,"278,036.48","155,320.32","69,550.08","29,946.88","14,962.18","8,418.05","4,209.02"
