Algorithm,Energy Consumption (J),Std. Dev. Energy Consumption (J),Time (ms),Std. Dev. Time (ms)
ML-DSA,0.0164,0.000,4.217,0.812
SLH-DSA,0.0552,0.008,133.208,2.240
Falcon,0.0002,0.000,0.666,0.013
MiRitH,2.3980,0.040,"3,086.228",1.242
MQOM,5.8129,0.013,"7,481.180",142.605
PERK,0.7263,0.016,934.689,1.663
MIRA,0.6846,0.030,881.095,2.546
SDitH,0.0371,0.004,55.128,0.538
MAYO,0.0159,0.003,43.719,1.212
QR-UOV,0.0294,0.003,51.649,0.081
SNOVA,0.0286,0.007,78.964,0.471
UOV,0.0008,0.000,2.236,0.040
LESS,3.5213,0.124,"4,531.941",30.718
CROSS,0.0057,0.002,15.650,1.967
SQISign,0.0993,0.005,213.093,19.093
HAWK,0.0008,0.000,2.112,0.288
FAEST,0.4211,0.059,739.068,18.384
