Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,"136,388.61","76,140.54","34,097.15","14,686.21","7,409.66","4,165.63","2,082.82"
SLH-DSA,"940,253.18","525,258.75","235,063.30","101,079.04","50,738.18","28,533.25","14,266.62"
Falcon,"40,755.20","22,753.28","10,188.80","4,389.89","2,213.89","1,245.18",622.59
MiRitH,"435,290.11","243,122.18","108,822.53","46,888.96","23,478.27","13,208.58","6,604.29"
MQOM,"231,694.34","129,445.89","57,923.58","24,921.09","12,574.72","7,070.72","3,535.36"
PERK,"462,405.63","258,236.42","115,601.41","49,698.82","24,892.42","14,002.69","7,001.34"
MIRA,"407,683.07","227,680.26","101,920.77","43,832.32","22,023.17","12,383.74","6,191.87"
SDitH,"589,094.91","329,035.78","147,273.73","63,338.50","31,799.81","17,886.46","8,943.23"
MAYO,"29,417.47","16,347.14","7,354.37","3,118.08","1,588.74",891.65,445.82
QR-UOV,"15,450.11","8,544.26","3,862.53","1,661.95",850.94,476.67,238.34
SNOVA,"18,079.74","10,104.83","4,519.94","1,887.23",973.82,543.23,271.62
UOV,"10,846.21","5,996.54","2,711.55","1,189.89",573.95,327.94,163.97
LESS,"77,070.34","43,040.77","19,267.58","8,328.19","4,171.26","2,346.75","1,173.38"
CROSS,"686,866.43","383,655.94","171,716.61","73,943.04","37,077.50","20,852.99","10,426.50"
SQISign,"12,656.64","6,983.68","3,164.16","1,271.81",625.15,353.54,176.77
HAWK,"34,840.58","19,468.29","8,751.10","3,733.50","1,844.74","1,040.13",520.06
FAEST,"281,321.47","157,126.66","70,330.37","30,233.60","15,218.69","8,556.54","4,278.27"
