Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,"489,923.26","278,684.35","131,285.69","63,162.04","37,596.35","26,280.89","19,010.36"
SLH-DSA,"2,832,768.36","1,588,690.28","718,802.28","317,096.29","166,279.53","99,700.58","56,923.75"
Falcon,"179,400.04","105,340.27","53,687.66","29,834.60","20,905.32","16,912.75","14,348.14"
MiRitH,"1,330,415.59","752,433.13","348,549.09","162,213.86","91,951.59","61,024.49","41,142.37"
MQOM,"731,126.84","423,640.12","208,579.64","109,242.43","72,162.36","55,629.88","45,013.56"
PERK,"1,405,811.89","791,579.82","362,443.95","152,944.81","89,639.60","56,831.92","35,743.28"
MIRA,"1,239,485.00","698,653.25","320,840.26","146,224.71","80,746.05","51,807.30","33,216.33"
SDitH,"1,785,091.99","1,002,940.31","456,298.39","203,854.74","108,940.69","67,123.86","40,245.53"
MAYO,"173,773.83","102,097.92","52,374.53","29,282.31","20,670.98","16,832.26","14,370.18"
QR-UOV,"1,383,316.27","777,878.32","354,777.90","159,270.70","85,940.52","53,527.08","32,702.12"
SNOVA,"117,721.24","71,030.93","38,469.78","23,272.60","17,761.43","15,255.19","13,653.91"
UOV,"15,291,366.66","8,547,507.46","3,831,639.30","1,653,762.31","835,864.32","475,278.85","243,504.51"
LESS,"2,544,253.29","1,433,573.74","656,968.05","298,257.77","163,605.36","104,195.69","66,007.02"
CROSS,"2,072,047.80","1,162,580.15","526,844.09","233,399.48","122,988.22","74,324.92","43,050.55"
SQISign,"53,528.01","36,509.13","25,050.57","19,373.51","17,433.54","16,623.82","16,090.95"
HAWK,"168,004.28","98,958.00","50,877.11","28,525.24","20,149.94","16,470.20","14,097.84"
FAEST,"855,866.53","484,187.29","224,496.80","104,597.66","59,521.69","39,617.44","26,828.83"
