Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,205408.3,114665.2,51353.9,22050.9,11037.6,6209.9,3104.1
SLH-DSA,938124.5,525103,234539.5,100796.6,50658.4,28487.5,14239.9
Falcon,86107,49120,21527.5,9271.8,4694.2,2638.9,1319.1
MiRitH,438579.5,244932.3,109648.8,47178.2,23735.8,13347.2,6671.8
MQOM,364473.9,258817.9,91162.7,39116.8,19615.5,11036.3,5516.7
PERK,466350.6,261689.2,116591.8,50090.6,25201.2,14172.1,7084.1
MIRA,409497.6,228670.9,102378,43937,22075.3,12414.6,6205.6
SDitH,593540.9,331506.7,148390.5,63813.9,31975.2,17983.9,8989.6
MAYO,103031.8,57496.4,25758.8,11138.6,5585.6,3140.9,1570
QR-UOV,1340552.3,748924.1,335191,144077.3,72364.6,40697,20343
SNOVA,69509.8,38769.2,17378,7445.9,3761.3,2116.1,1057.8
UOV,15258097,8523915.3,3814660.8,1639739.5,823021.4,462897.8,231386.2
LESS,5620358.1,3139763.3,1405139.8,604062.1,303210.6,170534.5,85244.1
CROSS,686054.1,383252.2,171519.6,73679.7,37017.6,20817.4,10405.9
SQISign,13.476,7557.2,3410,1559.6,789.5,440.8,220.4
HAWK,86598.5,48296.7,21650.4,9333.2,4735.2,2664.5,1331.9
FAEST,314518.6,175692.4,78632.4,33742.6,16940.7,9530,4763.7
