Algorithm,Energy Consumption (J),Std. Dev. Energy Consumption (J),Time (ms),Std. Dev. Time (ms)
ML-DSA,0.005117,0.000678,12.348,0.678
SLH-DSA,1.775896,0.041876,2211.853,41.876
Falcon,0.004705,0.000383,6.056,0.383
MiRitH,4.236737,0.045678,5452.686,54.321
MQOM,0.569849,0.014932,814.886,14.932
PERK,0.513977,0.018244,840.876,18.244
MIRA,0.853961,0.034678,1099.050,25.678
SDitH,1.196225,0.022678,1592.631,22.678
MAYO,0.082494,0.005614,138.483,5.614
QR-UOV,0.035877,0.002945,81.485,4.872
SNOVA,0.164545,0.008215,254.125,8.982
UOV,0.004447,0.000542,11.447,1.768
LESS,3.523096,0.156432,4534.23,47.389
CROSS,0.051004,0.003214,103.646,5.712
SQISign,2.820363,0.098432,3512.721,39.951
HAWK,0.001999,0.000178,5.148,0.794
FAEST,1.414934,0.072134,1821.022,32.842
