Algorithm,Energy Consumption (J),Std. Dev. Energy Consumption (J),Time (ms),Std. Dev. Time (ms)
ML-DSA,0.001860,0.000289,5.130,0.289
SLH-DSA,0.102542,0.007639,172.138,7.639
Falcon,0.000450,0.000074,0.599,0.074
MiRitH,3.951012,0.039876,5084.958,49.876
MQOM,0.435161,0.012764,800.076,12.764
PERK,0.470132,0.016398,723.181,16.398
MIRA,0.508250,0.029876,853.198,19.456
SDitH,0.048463,0.004215,81.355,4.215
MAYO,0.024538,0.002825,47.372,2.825
QR-UOV,0.042867,0.003178,75.232,3.642
SNOVA,0.140283,0.006954,235.494,7.816
UOV,0.001147,0.000189,3.165,0.672
LESS,2.328585,0.123876,2996.892,31.652
CROSS,0.028509,0.002456,56.161,3.429
SQISign,0.070880,0.005213,171.043,6.137
HAWK,0.001133,0.000134,3.127,0.438
FAEST,0.992070,0.058723,1276.796,21.467
