Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,136390,76141.7,34098.7,14687,7520,4165.7,2082.3
SLH-DSA,940262.6,525266.8,234375.6,101084.4,51510.3,28533.6,14262.9
Falcon,40755.6,22753.6,10003.9,4390.1,2244,1245.2,622.4
MiRitH,435294.5,243125.9,108580.7,47034.8,23829.3,13208.7,6602.6
MQOM,364637.8,203701.3,91203.6,39137.3,19915.8,11041.4,5519.2
PERK,462410.3,258240.4,115606.7,49701.4,25263.5,14085,6999.6
MIRA,407687.1,227683.7,101925.4,43834.6,22354.1,12383.9,6190.3
SDitH,589100.8,329040.8,147280.4,63341.8,32281.2,17886.7,8940.9
MAYO,29417.8,13963.5,7354.7,3118.2,1608.8,891.7,445.7
QR-UOV,15450.3,8544.4,3862.7,1662,861,476.7,238.3
SNOVA,18079.9,10105,4520.1,1887.3,983.9,543.2,271.6
UOV,10846.3,5996.6,2711.6,1128.5,574.0,327.9,164.0
LESS,284445.5,158853.5,71113.9,30666.3,15602.9,8643.7,4320.7
CROSS,686873.3,383661.8,171724.4,73947,37639.1,20853.2,10423.8
SQISign,13476,7557.2,3410,1559.6,799.5,440.8,220.4
HAWK,34840.9,19468.6,8751.5,3733.7,1864.8,1040.1,520
FAEST,315665.5,176265.9,78919.2,34050.8,17108.8,9576,4738.1
