Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,"338,695.86","189,101.75","84,690.62","36,471.48","18,212.54","10,259.13","5,140.66"
SLH-DSA,"1,877,631.25","1,049,862.42","471,195.93","203,823.38","103,522.07","59,271.19","30,827.67"
Falcon,"124,031.86","69,288.82","31,226.74","13,521.78","7,035.77","4,083.57","2,187.64"
MiRitH,"877,212.02","492,794.23","224,153.97","100,081.01","53,517.17","32,931.44","19,699.70"
MQOM,"477,904.02","273,980.57","131,468.44","65,627.29","40,923.80","30,013.34","23,001.62"
PERK,"926,485.27","518,314.77","233,128.72","90,170.13","51,938.58","30,092.31","16,051.09"
MIRA,"816,097.87","456,665.67","205,556.30","89,522.76","45,976.14","26,748.49","14,395.47"
SDitH,"1,180,960.21","660,346.33","296,451.54","128,333.27","65,225.17","37,393.37","19,504.34"
MAYO,"128,206.22","71,656.85","32,241.04","14,023.05","7,208.33","4,138.38","2,168.21"
QR-UOV,"1,352,318.29","755,678.54","338,574.67","145,906.00","73,561.42","41,640.27","21,122.90"
SNOVA,"83,604.42","46,699.46","21,119.94","9,337.80","4,862.92","2,858.95","1,575.37"
UOV,"15,265,921.62","8,528,390.74","3,816,833.62","1,640,971.86","823,812.69","463,544.92","231,980.63"
LESS,"2,448,162.11","1,372,826.94","621,020.47","273,598.78","143,288.12","85,815.87","48,867.26"
CROSS,"1,370,327.47","765,467.06","342,614.45","147,272.11","74,014.13","41,647.03","20,845.23"
SQISign,"26,220.97","16,931.24","10,607.02","7,604.65","6,434.22","5,967.78","5,657.77"
HAWK,"117,228.61","65,446.97","29,357.12","12,701.76","6,482.49","3,679.04","1,872.83"
FAEST,"558,803.58","312,797.82","140,929.66","61,620.86","31,590.01","18,465.91","10,024.83"
