Algorithm,DR0,DR1,DR2,DR3,DR4,DR5,DR6
ML-DSA,"223,924.84","130,552.04","65,475.34","35,474.14","24,261.34","19,063.14","15,831.64"
SLH-DSA,"960,162.56","542,864.86","250,617.86","116,730.66","66,848.36","43,707.26","29,333.86"
Falcon,"105,797.72","64,504.52","35,700.62","23,205.14","17,806.82","15,481.32","14,035.72"
MiRitH,"468,771.31","271,916.91","134,332.41","71,429.71","47,566.71","36,679.41","29,898.91"
MQOM,"385,906.93","221,681.33","107,170.43","54,137.43","34,556.43","25,487.03","19,841.63"
PERK,"487,732.72","278,467.42","132,548.72","65,204.62","40,088.82","28,612.82","21,337.62"
MIRA,"430,112.71","246,492.51","118,434.31","59,274.41","37,393.51","27,202.61","20,867.91"
SDitH,"613,877.75","349,050.05","164,168.45","78,873.05","47,165.25","32,493.75","23,373.55"
MAYO,"123,035.62","71,745.32","40,337.52","24,709.62","18,887.42","16,162.52","14,465.92"
QR-UOV,"1,360,526.98","765,536.88","349,699.58","157,783.98","86,657.28","53,694.68","33,212.28"
SNOVA,"89,653.49","55,787.79","32,260.49","21,341.09","17,336.89","15,436.39","14,254.89"
UOV,"15,277,929.58","8,540,376.78","3,829,068.18","1,653,098.38","848,611.98","475,748.18","244,110.88"
LESS,"5,647,707.29","3,163,741.39","1,427,063.79","624,998.79","328,407.89","190,901.39","105,485.29"
CROSS,"704,876.77","399,199.47","185,783.37","87,389.57","50,773.37","33,812.97","23,275.67"
SQISign,"36,977.73","27,687.93","21,486.53","18,649.03","17,519.23","16,960.33","16,614.13"
HAWK,"107,415.94","65,411.44","36,340.24","22,747.14","17,756.94","15,467.24","14,029.64"
FAEST,"336,279.28","194,577.78","95,875.28","50,410.88","33,160.68","25,463.48","20,522.88"
